Date,Type,English,Greek
02-27,Saint,"Procopios, confessor of Decapolis","Προκοπίου ὁμολ., τοῦ Δεκαπολίτου"
02-27,Saint,Martyr Gelasios the Actor,"Γελασίου μάρτυρος, τοῦ μίμου"
02-27,Saint,Ven. Ephraim of Katounakia,Ἐφραίμ ὁσ. τοῦ Κατουνακιώτου
02-28,Saint,John Cassian the Roman,Ἰωάννου Κασσιανοῦ τοῦ Ρωμαίου
02-28,Saint,Basil the Confessor,Βασιλείου τοῦ ὁμολογητοῦ
03-01,Saint,Martyr Eudokia,Εὐδοκίας ὁσιομάρτυρος
03-01,Saint,David of Wales,Δαβίδ Οὐαλίας
03-02,Saint,Martyr Hesychios,Ἡσυχίου μάρτυρος
03-02,Saint,Martyr Euthalia,Εὐθαλίας μάρτυρος
03-02,Saint,Nicholas Planas,Νικολάου τοῦ Πλανᾶ
03-03,Saint,"Martyrs Eutropios, Cleonicos & Basiliscos","Εὐτροπίου, Κλεονίκου & Βασιλίσκου τῶν μαρτύρων"
03-04,Saint,Gerasimos of the Jordan,Γερασίμου τοῦ Ἰορδανίτου
03-05,Saint,Martyr Conon,Κόνωνος μάρτυρος
03-05,Saint,Mark the Ascetic,Μάρκου τοῦ ἀσκητοῦ
03-05,Saint,New-martyr George of Rapsani,Γεωργίου νεομάρτ. τοῦ ἐν Ραψάνῃ
03-06,Saint,42 Martyrs of Amorion,Τῶν ἐν Ἀμορίῳ 42 μαρτύρων
03-06,Saint,Uncovering of Precious Cross and Nails,Ἀνάμνησις εὑρέσεως τοῦ Τιμίου Σταυροῦ καὶ τῶν Ἥλων
03-07,Saint,"Hieromartyrs Basil, Ephraim & Eugene","Βασιλείου, Ἐφραίμ & Εὐγενίου ἱερομαρτύρων"
03-08,Saint,Apostle Hermas of the 70,Ἑρμοῦ ἀπ. ἐκ τῶν 70
03-09,Saint,40 Martyrs of Sebaste,Τῶν ἐν Σεβαστείᾳ 40 μαρτύρων
03-10,Saint,Martyr Codratos,Κοδράτου μάρτυρος
03-10,Saint,Anastasia the Patrician,Ἀναστασίας τῆς πατρικίας
03-11,Saint,"Sophronios, patriarch of Jerusalem","Σωφρονίου, Πατριάρχου Ἱεροσολύμων"
03-12,Saint,Gregory the Dialogist,"Γρηγορίου τοῦ Διαλόγου, ἐπ. Ρώμης"
03-12,Saint,Symeon the New Theologian,Συμεών τοῦ νέου Θεολόγου
03-13,Saint,"Trans. of relics of St. Nikiphoros, patriarch of Constantinople","Ἀνακομιδὴ λειψάνων ἁγ. Νικηφόρου, Πατριάρχου ΚΠόλεως"
03-14,Saint,Ven. Benedict of Nursia,Βενεδίκτου ὁσίου ἐν Νουρσίᾳ
03-14,Saint,Ven. Euschemon of Lampsacos,Εὺσχημόνου ὁσίου Λαμψάκου
03-15,Saint,Martyr Agapios & his comp.,Ἀγαπίου & τῶν σὺν αὐτῷ μαρτ.
03-15,Saint,Apostle Aristobulos of the 70,Ὰριστοβούλου ἀπ. ἐκ τῶν 70
03-16,Saint,"Martyrs Sabinos, Julian","Σαβίνου, Ἰουλιανοῦ μαρτύρων"
03-16,Saint,Christodoulos of Patmos,Χριστοδούλου τοῦ ἐν Πάτμῳ
03-17,Saint,Alexis the Man of God,Ἀλεξίου ἀνθρώπου τοῦ Θεοῦ
03-17,Saint,"Patrick, enlightener of Ireland","Πατρικίου, φωτιστοῦ Ἰρλανδίας"
03-18,Saint,"Cyril, archbishop of Jerusalem","Κυρίλλου, ἀρχιεπισκόπου Ἱεροσολύμων"
03-18,Saint,Martys Trophimos & Eucarpos,Τροφίμου & Εὐκαρπίωνος τῶν μαρτύρων
03-19,Saint,Martyrs Chrysanthos & Daria,Χρυσάνθου & Δαρείας τῶν μαρτύρων
03-20,Saint,Holy Fathers slain at St. Savva's Monastery,Τῶν ἐν τῇ Μονῇ τοῦ ἁγ. Σάββα ἀναιρεθέντων ὁσίων πατέρων
03-21,Saint,James the Confessor,Ἰακώβου τοῦ ὁμολογητοῦ
03-21,Saint,Ven. Seraphim of Viritsa,Σεραφείμ ὁσ. τῆς Βίριτσα
03-22,Saint,Hieromartyr Basil of Ancyra,"Βασιλείου, ἱερομάρ. Ἄγκυρας"
03-22,Saint,Martyr Drosis,Δροσίδος μάρτυρος
03-23,Saint,Martyr Nikon & his 199 disciples,Νίκωνος ὁσιομάρτυρος & τῶν 199 μαθητῶν αὐτοῦ
03-24,Saint,Artemon of Seleucia,"Ἀρτέμονος, ἐπ. Σελευκείας"
03-24,Saint,Zacharias the Recluse,Ζαχαρίου τοῦ ἐγκλείστου
03-25,Feast,Annunciation of the Theotokos,Ὁ Εὐαγγελισμὸς τῆς Θεοτόκου
03-26,Saint,Synaxis of Archangel Gabriel,Ἡ σύναξις τοῦ Ἀρχαγγέλου Γαβριήλ
03-27,Saint,Martyr Matrona of Thessalonica,"Ματρώνης μάρτυρος, τῆς ἐν Θεσσαλονίκῃ"
03-28,Saint,Ven. Hilarion the New,Ἱλαρίωνος ὁσίου τοῦ νέου
03-28,Saint,Apostle Herodion,Ἡρωδίωνος ἀποστ. ἐκ τῶν 70
03-29,Saint,Hieromartyr Mark of Arethusa,"Μάρκου, ἱερομάρτ. Ἀρεθουσῶν"
03-29,Saint,Diadochos of Photiki,Διαδόχου Φωτικῆς
03-30,Saint,Ven. John of the Ladder,Ἰωάννου ὁσίου τῆς Κλίμακος
03-31,Saint,"Hypatios, bishop of Gangra","Ὑπατίου, ἐπισκόπου Γαγγρῶν"
03-31,Saint,Metropolitan Innocent of Moscow,"Ἰννοκεντίου, μητρ. Μόσχας"
04-01,Saint,Mary of Egypt,Μαρίας ὁσίας τῆς Αἰγυπτίας
04-01,Saint,Barsanouphios of Optina,Βαρσανουφίου τῆς Ὄπτινα
04-02,Saint,Ven. Titus the Wonder-worker,Τίτου ὁσίου τοῦ θαυματουργοῦ
04-02,Saint,Virgin-martyr Theodora,Θεοδώρας παρθενομάρτυρος
04-03,Saint,Nikitas the Confessor,Νικήτα τοῦ ὁμολογητοῦ
04-03,Saint,Joseph the Hymnographer,Ἰωσήφ τοῦ ὑμνογράφου
04-04,Saint,Ven. George of Maleo,Γεωργίου ὁσίου τοῦ ἐν Μαλεῷ
04-04,Saint,Ven. Zosimas,Ζωσιμᾶ ὁσίου
04-05,Saint,Martyr Claudios & his companions,Κλαυδίου μάρτ. & τῶν σὺν αὐτῷ
04-05,Saint,Ven. Theodora of Thessalonica,"Θεοδώρας, ὁσίας τῆς Θεσσαλονίκης"
04-06,Saint,"Eutychios, patriarch of Constantinople","Εὐτυχίου, Πατριάρχου ΚΠόλεως"
04-06,Saint,Gregory of Sinai,Γρηγορίου τοῦ Σιναΐτου
04-07,Saint,Martyr Kalliopios,Καλλιοπίου μάρτυρος
04-07,Saint,Patriarch Tikhon of Moscow,Τύχωνος Πατριάρχου Μόσχας
04-08,Saint,"Apostles Herodion, Agabos, Rufos, Asyncritos, Phlegon & Hermes of the 70","Ἡρωδίωνος, Ἀγάβου, Ρούφου, Ἀσυγκρίτου, Φλέγοντος & Ἑρμοῦ ἐκ τῶν 70 ἀπ."
04-09,Saint,Martyr Eupsychios of Caesarea,Εὐψυχίου μάρτυρος
04-09,Saint,Martyr Vadim & 7 disciples,Βαδίμου ὁσιομάρτυρος & τῶν σὺν αὐτῷ ἑπτὰ μαθητῶν
04-10,Saint,"Martyrs Terence, Pompeios & their companions","Τερεντίου, Πομπηΐου & τῶν σὺν αὐτοῖς μαρτύρων"
04-11,Saint,Hieromartyr Antipas,Ἀντίπα ἱερομάρτυρος
04-11,Saint,Hieromartyr Domninos,Δομνίνου ἱερομάρτυρος
04-12,Saint,Basil the Confessor,Βασιλείου τοῦ ὁμολογητοῦ
04-12,Saint,Anthousa of Constantinople,Ἀνθούσης ΚΠόλεως
04-13,Saint,"Martin the Confessor, pope of Rome","Μαρτίνου πάπα Ρώμης, τοῦ ὁμολογητοῦ"
04-14,Saint,"Apostles Aristarchos, Pudens & Trophimos of the 70","Ἀριστάρχου, Πούδη & Τροφίμου ἐκ τῶν 70 ἀποστόλων"
04-15,Saint,Martyr Crescens,Κρήσκεντος μάρτυρος
04-15,Saint,"Leonidas, bishop of Athens","Λεωνίδου, ἐπισκόπου Ἀθηνῶν"
04-16,Saint,"Martyrs Agape, Irene & Chionia","Ἀγάπης, Εἰρήνης & Χιονίας τῶν μαρτύρων"
04-17,Saint,Hieromartyr Symeon of Persia & his companions,"Συμεὼν ἱερομ., ἐπισκόπου Περσίας & τῶν σὺν αὐτῷ"
04-18,Saint,Ven. John the Hesychast,Ἰωάννου τοῦ Ἡσυχαστοῦ
04-18,Saint,Martyr Savva the Goth,Σάββα στρατηλάτου τοῦ Γότθου
04-18,Saint,Ven. Athanasia of Aigina,Ἀθανασίας ὁσίας τῆς Αἰγίνης
04-19,Saint,Hieromartyr Paphnutios,Παφνουτίου ἱερομάρτυρος
04-19,Saint,Martyr Theodore and his companios,Θεοδώρου μάρτυρος & τῶν σὺν αὐτῷ
04-20,Saint,Theodore Trichinas (of the Hair-shirt),Θεοδώρου τοῦ Τριχινᾶ
04-20,Saint,Apostle Zacchaios of the 70,Ζακχαίου ἀπ. ἐκ τῶν 70
04-21,Saint,Hieromartyr Januarios,Ἰανουαρίου ἱερομάρτυρος
04-21,Saint,Ven. Anastasios of Sinai,Ἀναστασίου ὁσίου τοῦ Σιναΐτου
04-21,Saint,Martyr Alexandra the Empress,"Ἀλεξάνδρας μαρτ., Βασιλίσσης"
