PaschaOffset,Date,Category,Type,English,Greek
,,,,"Flavian, patriarch of Constantinople","Φλαβιανοῦ, Πατρ. ΚΠόλεως"
,,,,,
,,,,Great-martyr Theodore the Recruit (Tyro),Θεοδώρου Τήρωνος τοῦ μεγαλομάρτυρος
,,,,,
,,,,"Leo, pope of Rome","Λέοντος, πάπα Ρώμης"
,,,,"Agapitos, bishop of Synnada","Ἀγαπητοῦ, ἐπισκόπου Σινάου"
,,Movable,,No Liturgy,Ἄνευ Λειτουργίας
,,,,,
,,,,Apostle Archippos of the 70,Ἀρχίππου ἀποστόλου ἐκ τῶν 70
,,,,Martyr Philothea of Athens,Φιλοθέης μάρτυρος τῆς Ἀθηναίας
,,,,,
,,,,"Agathon, pope of Rome","Ἀγάθωνος, πάπα Ρώμης"
,,,,"Leo, bishop of Catania","Λέοντος, ἐπισκόπου Κατάνης"
,,,,Ven. Bessarion,Βησσαρίωνος ὁσίου
,,Movable,,No Liturgy,Ἄνευ Λειτουργίας
,,,,,
,,Movable,,Holy Fathers shone forth in ascetic life,Τῶν ἐν ἀσκήσει διαλαμψάντων ὁσίων
,,,,Timothy of Symbola,Τιμοθέου τοῦ ἐν Συμβόλοις
,,,,"Eustathios, bishop of Antioch","Εὐσταθίου, ἐπ. Ἀντιοχείας"
,,,,,
,,Movable,,Cheese-fare (Forgiveness) Sunday,Τῆς Τυρινῆς
,,,,Finding of the relics of Martyrs in Eugenios,Εὕρεσις λειψάνων τῶν ἐν τοῖς Εὺγενίου μαρτύρων
,,,,,
,,Movable,,Beginning of Lent,Ἀρχὴ νηστείας
,,Movable,,Clean Monday,Καθαρὰ Δευτέρα
,,,,"Polycarp, bishop of Smyrna","Πολυκάρπου, ἐπισκ. Σμύρνης"
,,,,Ven. Gorgonia,Γοργονίας ὁσίας
,,,,,
,,,,1st & 2nd findings of the Precious Head of St. John the Baptist,Α΄ & Β΄ εὕρεσις τιμίας κεφαλῆς Ἰωάννου τοῦ Προδρόμου
,,,,,
,,,,"Tarasios, patriarch of Constantinople","Ταρασίου, Πατρ. ΚΠόλεως"
,,,,,
,,,,"Porphyrios, bishop of Gaza","Πορφυρίου, ἐπ. Γάζης"
,,,,"Photini, the Samaritan Woman",Φωτεινῆς τῆς Σαμαρείτιδος
,,,,,
,,,,"Procopios, confessor of Decapolis","Προκοπίου ὁμολ., τοῦ Δεκαπολίτου"
,,,,Martyr Gelasios the Actor,"Γελασίου μάρτυρος, τοῦ μίμου"
,,,,Ven. Ephraim of Katounakia,Ἐφραίμ ὁσ. τοῦ Κατουνακιώτου
,,Movable,,1st Salutations,Α΄ Χαιρετισμοί
,,,,,
,,Movable,,The miracle of kollyva by St. Theodore the Recruit (Tyro),Τοῦ διὰ κολλύβων θαύματος ἁγ. Θεοδώρου τοῦ Τήρωνος
,,,,John Cassian the Roman,Ἰωάννου Κασσιανοῦ τοῦ Ρωμαίου
,,,,Basil the Confessor,Βασιλείου τοῦ ὁμολογητοῦ
,,,,,
March,2025-03-01,Movable,,1st Sunday of Lent – of Orthodoxy,Α΄ Νηστειῶν – Τῆς Ὀρθοδοξίας
,2025-03-02,,,Martyr Eudokia,Εὐδοκίας ὁσιομάρτυρος
,2025-03-03,,,David of Wales,Δαβίδ Οὐαλίας
,2025-03-04,,,,
,2025-03-05,,,Martyr Hesychios,Ἡσυχίου μάρτυρος
,2025-03-06,,,Martyr Euthalia,Εὐθαλίας μάρτυρος
,2025-03-07,,,Nicholas Planas,Νικολάου τοῦ Πλανᾶ
,2025-03-08,,,,
,2025-03-09,,,"Martyrs Eutropios, Cleonicos & Basiliscos","Εὐτροπίου, Κλεονίκου & Βασιλίσκου τῶν μαρτύρων"
,2025-03-10,,,,
,2025-03-11,,,Gerasimos of the Jordan,Γερασίμου τοῦ Ἰορδανίτου
,2025-03-12,,,,
,2025-03-13,,,Martyr Conon,Κόνωνος μάρτυρος
,2025-03-14,,,Mark the Ascetic,Μάρκου τοῦ ἀσκητοῦ
,2025-03-15,,,New-martyr George of Rapsani,Γεωργίου νεομάρτ. τοῦ ἐν Ραψάνῃ
,2025-03-16,,,,
,2025-03-17,,,42 Martyrs of Amorion,Τῶν ἐν Ἀμορίῳ 42 μαρτύρων
,2025-03-18,,,Uncovering of Precious Cross and Nails,Ἀνάμνησις εὑρέσεως τοῦ Τιμίου Σταυροῦ καὶ τῶν Ἥλων
,2025-03-19,Movable,,2nd Salutations,Β΄ Χαιρετισμοί
,2025-03-20,,,,
,2025-03-21,Movable,,Soul Saturday,Ψυχοσάββατον
,2025-03-22,,,"Hieromartyrs Basil, Ephraim & Eugene","Βασιλείου, Ἐφραίμ & Εὐγενίου ἱερομαρτύρων"
,2025-03-23,,,,
,2025-03-24,Movable,,2nd Sunday of Lent – of St. Gregory Palamas,Β΄ Νηστειῶν – Ἁγ. Γρηγορίου τοῦ Παλαμᾶ
,2025-03-25,,,Apostle Hermas of the 70,Ἑρμοῦ ἀπ. ἐκ τῶν 70
,2025-03-26,Special,,Daylight Savings Time begins. Turn clocks forward 1 hour,
,2025-03-27,,,,
,2025-03-28,,,40 Martyrs of Sebaste,Τῶν ἐν Σεβαστείᾳ 40 μαρτύρων
,2025-03-29,,,,
,2025-03-30,,,Martyr Codratos,Κοδράτου μάρτυρος
,2025-03-31,,,Anastasia the Patrician,Ἀναστασίας τῆς πατρικίας
,,,,,
,,,,"Sophronios, patr. of Jerusalem","Σωφρονίου, Πατριάρχου Ἱεροσολύμων"
,,,,,
,,,,Gregory the Dialogist,"Γρηγορίου τοῦ Διαλόγου, ἐπ. Ρώμης"
,,,,Symeon the New Theologian,Συμεών τοῦ νέου Θεολόγου
,,,,,
,,,,"Trans. of relics of St. Nikiphoros, patriarch of Constantinople","Ἀνακομιδὴ λειψάνων ἁγ. Νικηφόρου, Πατριάρχου ΚΠόλεως"
,,,,3rd Salutations,Γ΄ Χαιρετισμοί
,,,,,
,,Movable,,Soul Saturday,Ψυχοσάββατον
,,,,Ven. Benedict of Nursia,Βενεδίκτου ὁσίου ἐν Νουρσίᾳ
,,,,Ven. Euschemon of Lampsacos,Εὺσχημόνου ὁσίου Λαμψάκου
,,,,,
,,Movable,,3rd Sunday of Lent – Veneration of the Holy Cross,Γ΄ Νηστειῶν – Τῆς Σταυροπροσκυνήσεως
,,,,Martyr Agapios & his comp.,Ἀγαπίου & τῶν σὺν αὐτῷ μαρτ.
,,,,Apostle Aristobulos of the 70,Ὰριστοβούλου ἀπ. ἐκ τῶν 70
,,,,,
,,,,"Martyrs Sabinos, Julian","Σαβίνου, Ἰουλιανοῦ μαρτύρων"
,,,,Christodoulos of Patmos,Χριστοδούλου τοῦ ἐν Πάτμῳ
,,,,,
,,,,Alexis the Man of God,Ἀλεξίου ἀνθρώπου τοῦ Θεοῦ
,,,,"Patrick, enlightener of Ireland","Πατρικίου, φωτιστοῦ Ἰρλανδίας"
,,,,,
,,,,"Cyril, archbishop of Jerusalem","Κυρίλλου, ἀρχιεπισκόπου Ἱεροσολύμων"
,,,,Martys Trophimos & Eucarpos,Τροφίμου & Εὐκαρπίωνος τῶν μαρτύρων
,,,,,
,,,,Martyrs Chrysanthos & Daria,Χρυσάνθου & Δαρείας τῶν μαρτύρων
,,,,,
,,,,Holy Fathers slain at St. Sabbas’ Monastery,Τῶν ἐν τῇ Μονῇ τοῦ ἁγ. Σάββα ἀναιρεθέντων ὁσίων πατέρων
,,Movable,,4th Salutations,Δ΄ Χαιρετισμοί
,,,,,
,,Movable,,Soul Saturday,Ψυχοσάββατον
,,,,James the Confessor,Ἰακώβου τοῦ ὁμολογητοῦ
,,,,Ven. Seraphim of Viritsa,Σεραφείμ ὁσ. τῆς Βίριτσα
,,,,,
,,Movable,,4th Sunday of Lent – of St. John of the Ladder,Δ΄ Νηστειῶν – Ἁγ. Ἰωάννου τῆς Κλίμακος
,,,,Hieromartyr Basil of Ancyra,"Βασιλείου, ἱερομάρ. Ἄγκυρας"
,,,,Martyr Drosis,Δροσίδος μάρτυρος
,,,,,
